home_team,away_team,home_team_goal_count,away_team_goal_count,xg_home,xg_away,home_win,xg_diff,factor_casa,roi_home
Man United,Chelsea,2,1,0.0,0.0,1,0.0,1.0,0.0
Fulham,Brentford,3,1,0.0,0.0,1,0.0,1.0,0.0
Bournemouth,Newcastle,0,0,0.0,0.0,0,0.0,1.0,0.0
Sunderland,Aston Villa,1,1,0.0,0.0,0,0.0,1.0,0.0
Arsenal,Man City,1,1,0.0,0.0,0,0.0,1.0,0.0
Brentford,Man United,3,1,0.0,0.0,1,0.0,1.0,0.0
Chelsea,Brighton,1,3,0.0,0.0,0,0.0,1.0,0.0
Crystal Palace,Liverpool,2,1,0.0,0.0,1,0.0,1.0,0.0
Leeds,Bournemouth,2,2,0.0,0.0,0,0.0,1.0,0.0
Man City,Burnley,5,1,0.0,0.0,1,0.0,1.0,0.0
Nott'm Forest,Sunderland,0,1,0.0,0.0,0,0.0,1.0,0.0
Tottenham,Wolves,1,1,0.0,0.0,0,0.0,1.0,0.0
Aston Villa,Fulham,3,1,0.0,0.0,1,0.0,1.0,0.0
Newcastle,Arsenal,1,2,0.0,0.0,0,0.0,1.0,0.0
Everton,West Ham,1,1,0.0,0.0,0,0.0,1.0,0.0
Bournemouth,Fulham,3,1,0.0,0.0,1,0.0,1.0,0.0
Leeds,Tottenham,1,2,0.0,0.0,0,0.0,1.0,0.0
Arsenal,West Ham,2,0,0.0,0.0,1,0.0,1.0,0.0
Man United,Sunderland,2,0,0.0,0.0,1,0.0,1.0,0.0
Chelsea,Liverpool,2,1,0.0,0.0,1,0.0,1.0,0.0
Aston Villa,Burnley,2,1,0.0,0.0,1,0.0,1.0,0.0
Everton,Crystal Palace,2,1,0.0,0.0,1,0.0,1.0,0.0
Newcastle,Nott'm Forest,2,0,0.0,0.0,1,0.0,1.0,0.0
Wolves,Brighton,1,1,0.0,0.0,0,0.0,1.0,0.0
Brentford,Man City,0,1,0.0,0.0,0,0.0,1.0,0.0
Nott'm Forest,Chelsea,0,3,0.0,0.0,0,0.0,1.0,0.0
Brighton,Newcastle,2,1,0.0,0.0,1,0.0,1.0,0.0
Burnley,Leeds,2,0,0.0,0.0,1,0.0,1.0,0.0
Crystal Palace,Bournemouth,3,3,0.0,0.0,0,0.0,1.0,0.0
Man City,Everton,2,0,0.0,0.0,1,0.0,1.0,0.0
Sunderland,Wolves,2,0,0.0,0.0,1,0.0,1.0,0.0
Fulham,Arsenal,0,1,0.0,0.0,0,0.0,1.0,0.0
Tottenham,Aston Villa,1,2,0.0,0.0,0,0.0,1.0,0.0
Liverpool,Man United,1,2,0.0,0.0,0,0.0,1.0,0.0
West Ham,Brentford,0,2,0.0,0.0,0,0.0,1.0,0.0
Leeds,West Ham,2,1,0.0,0.0,1,0.0,1.0,0.0
Chelsea,Sunderland,1,2,0.0,0.0,0,0.0,1.0,0.0
Newcastle,Fulham,2,1,0.0,0.0,1,0.0,1.0,0.0
Man United,Brighton,4,2,0.0,0.0,1,0.0,1.0,0.0
Brentford,Liverpool,3,2,0.0,0.0,1,0.0,1.0,0.0
Arsenal,Crystal Palace,1,0,0.0,0.0,1,0.0,1.0,0.0
Aston Villa,Man City,1,0,0.0,0.0,1,0.0,1.0,0.0
Bournemouth,Nott'm Forest,2,0,0.0,0.0,1,0.0,1.0,0.0
Wolves,Burnley,2,3,0.0,0.0,0,0.0,1.0,0.0
Everton,Tottenham,0,3,0.0,0.0,0,0.0,1.0,0.0
Brighton,Leeds,3,0,0.0,0.0,1,0.0,1.0,0.0
Burnley,Arsenal,0,2,0.0,0.0,0,0.0,1.0,0.0
Crystal Palace,Brentford,2,0,0.0,0.0,1,0.0,1.0,0.0
Fulham,Wolves,3,0,0.0,0.0,1,0.0,1.0,0.0
Nott'm Forest,Man United,2,2,0.0,0.0,0,0.0,1.0,0.0
Tottenham,Chelsea,0,1,0.0,0.0,0,0.0,1.0,0.0
Liverpool,Aston Villa,2,0,0.0,0.0,1,0.0,1.0,0.0
West Ham,Newcastle,3,1,0.0,0.0,1,0.0,1.0,0.0
Man City,Bournemouth,3,1,0.0,0.0,1,0.0,1.0,0.0
Sunderland,Everton,1,1,0.0,0.0,0,0.0,1.0,0.0
Tottenham,Man United,2,2,0.0,0.0,0,0.0,1.0,0.0
Everton,Fulham,2,0,0.0,0.0,1,0.0,1.0,0.0
West Ham,Burnley,3,2,0.0,0.0,1,0.0,1.0,0.0
Sunderland,Arsenal,2,2,0.0,0.0,0,0.0,1.0,0.0
Chelsea,Wolves,3,0,0.0,0.0,1,0.0,1.0,0.0
Aston Villa,Bournemouth,4,0,0.0,0.0,1,0.0,1.0,0.0
Brentford,Newcastle,3,1,0.0,0.0,1,0.0,1.0,0.0
Crystal Palace,Brighton,0,0,0.0,0.0,0,0.0,1.0,0.0
Nott'm Forest,Leeds,3,1,0.0,0.0,1,0.0,1.0,0.0
Man City,Liverpool,3,0,0.0,0.0,1,0.0,1.0,0.0
Burnley,Chelsea,0,2,0.0,0.0,0,0.0,1.0,0.0
Bournemouth,West Ham,2,2,0.0,0.0,0,0.0,1.0,0.0
Brighton,Brentford,2,1,0.0,0.0,1,0.0,1.0,0.0
Fulham,Sunderland,1,0,0.0,0.0,1,0.0,1.0,0.0
Liverpool,Nott'm Forest,0,3,0.0,0.0,0,0.0,1.0,0.0
Wolves,Crystal Palace,0,2,0.0,0.0,0,0.0,1.0,0.0
Newcastle,Man City,2,1,0.0,0.0,1,0.0,1.0,0.0
Leeds,Aston Villa,1,2,0.0,0.0,0,0.0,1.0,0.0
Arsenal,Tottenham,4,1,0.0,0.0,1,0.0,1.0,0.0
Man United,Everton,0,1,0.0,0.0,0,0.0,1.0,0.0
Brentford,Burnley,3,1,0.0,0.0,1,0.0,1.0,0.0
Man City,Leeds,3,2,0.0,0.0,1,0.0,1.0,0.0
Sunderland,Bournemouth,3,2,0.0,0.0,1,0.0,1.0,0.0
Everton,Newcastle,1,4,0.0,0.0,0,0.0,1.0,0.0
Tottenham,Fulham,1,2,0.0,0.0,0,0.0,1.0,0.0
Crystal Palace,Man United,1,2,0.0,0.0,0,0.0,1.0,0.0
Aston Villa,Wolves,1,0,0.0,0.0,1,0.0,1.0,0.0
Nott'm Forest,Brighton,0,2,0.0,0.0,0,0.0,1.0,0.0
West Ham,Liverpool,0,2,0.0,0.0,0,0.0,1.0,0.0
Chelsea,Arsenal,1,1,0.0,0.0,0,0.0,1.0,0.0
Bournemouth,Everton,0,1,0.0,0.0,0,0.0,1.0,0.0
Fulham,Man City,4,5,0.0,0.0,0,0.0,1.0,0.0
Newcastle,Tottenham,2,2,0.0,0.0,0,0.0,1.0,0.0
Arsenal,Brentford,2,0,0.0,0.0,1,0.0,1.0,0.0
Brighton,Aston Villa,3,4,0.0,0.0,0,0.0,1.0,0.0
Burnley,Crystal Palace,0,1,0.0,0.0,0,0.0,1.0,0.0
Wolves,Nott'm Forest,0,1,0.0,0.0,0,0.0,1.0,0.0
Leeds,Chelsea,3,1,0.0,0.0,1,0.0,1.0,0.0
Liverpool,Sunderland,1,1,0.0,0.0,0,0.0,1.0,0.0
Man United,West Ham,1,1,0.0,0.0,0,0.0,1.0,0.0
Aston Villa,Arsenal,2,1,0.0,0.0,1,0.0,1.0,0.0
Bournemouth,Chelsea,0,0,0.0,0.0,0,0.0,1.0,0.0
Everton,Nott'm Forest,3,0,0.0,0.0,1,0.0,1.0,0.0
Man City,Sunderland,3,0,0.0,0.0,1,0.0,1.0,0.0
Newcastle,Burnley,2,1,0.0,0.0,1,0.0,1.0,0.0
Tottenham,Brentford,2,0,0.0,0.0,1,0.0,1.0,0.0
Leeds,Liverpool,3,3,0.0,0.0,0,0.0,1.0,0.0
Brighton,West Ham,1,1,0.0,0.0,0,0.0,1.0,0.0
Fulham,Crystal Palace,1,2,0.0,0.0,0,0.0,1.0,0.0
Wolves,Man United,1,4,0.0,0.0,0,0.0,1.0,0.0
Chelsea,Everton,2,0,0.0,0.0,1,0.0,1.0,0.0
Liverpool,Brighton,2,0,0.0,0.0,1,0.0,1.0,0.0
Burnley,Fulham,2,3,0.0,0.0,0,0.0,1.0,0.0
Arsenal,Wolves,2,1,0.0,0.0,1,0.0,1.0,0.0
Crystal Palace,Man City,0,3,0.0,0.0,0,0.0,1.0,0.0
Nott'm Forest,Tottenham,3,0,0.0,0.0,1,0.0,1.0,0.0
Sunderland,Newcastle,1,0,0.0,0.0,1,0.0,1.0,0.0
West Ham,Aston Villa,2,3,0.0,0.0,0,0.0,1.0,0.0
Brentford,Leeds,1,1,0.0,0.0,0,0.0,1.0,0.0
Man United,Bournemouth,4,4,0.0,0.0,0,0.0,1.0,0.0
Newcastle,Chelsea,2,2,0.0,0.0,0,0.0,1.0,0.0
Bournemouth,Burnley,1,1,0.0,0.0,0,0.0,1.0,0.0
Brighton,Sunderland,0,0,0.0,0.0,0,0.0,1.0,0.0
Man City,West Ham,3,0,0.0,0.0,1,0.0,1.0,0.0
Wolves,Brentford,0,2,0.0,0.0,0,0.0,1.0,0.0
Tottenham,Liverpool,1,2,0.0,0.0,0,0.0,1.0,0.0
Everton,Arsenal,0,1,0.0,0.0,0,0.0,1.0,0.0
Leeds,Crystal Palace,4,1,0.0,0.0,1,0.0,1.0,0.0
Aston Villa,Man United,2,1,0.0,0.0,1,0.0,1.0,0.0
Fulham,Nott'm Forest,1,0,0.0,0.0,1,0.0,1.0,0.0
Man United,Newcastle,1,0,0.0,0.0,1,0.0,1.0,0.0
Nott'm Forest,Man City,1,2,0.0,0.0,0,0.0,1.0,0.0
Arsenal,Brighton,2,1,0.0,0.0,1,0.0,1.0,0.0
Brentford,Bournemouth,4,1,0.0,0.0,1,0.0,1.0,0.0
Burnley,Everton,0,0,0.0,0.0,0,0.0,1.0,0.0
Liverpool,Wolves,2,1,0.0,0.0,1,0.0,1.0,0.0
West Ham,Fulham,0,1,0.0,0.0,0,0.0,1.0,0.0
Chelsea,Aston Villa,1,2,0.0,0.0,0,0.0,1.0,0.0
Sunderland,Leeds,1,1,0.0,0.0,0,0.0,1.0,0.0
Crystal Palace,Tottenham,0,1,0.0,0.0,0,0.0,1.0,0.0
Burnley,Newcastle,1,3,0.0,0.0,0,0.0,1.0,0.0
Chelsea,Bournemouth,2,2,0.0,0.0,0,0.0,1.0,0.0
Nott'm Forest,Everton,0,2,0.0,0.0,0,0.0,1.0,0.0
West Ham,Brighton,2,2,0.0,0.0,0,0.0,1.0,0.0
Arsenal,Aston Villa,4,1,0.0,0.0,1,0.0,1.0,0.0
Man United,Wolves,1,1,0.0,0.0,0,0.0,1.0,0.0
Crystal Palace,Fulham,1,1,0.0,0.0,0,0.0,1.0,0.0
Liverpool,Leeds,0,0,0.0,0.0,0,0.0,1.0,0.0
Brentford,Tottenham,0,0,0.0,0.0,0,0.0,1.0,0.0
Sunderland,Man City,0,0,0.0,0.0,0,0.0,1.0,0.0
Aston Villa,Nott'm Forest,3,1,0.0,0.0,1,0.0,1.0,0.0
Brighton,Burnley,2,0,0.0,0.0,1,0.0,1.0,0.0
Wolves,West Ham,3,0,0.0,0.0,1,0.0,1.0,0.0
Bournemouth,Arsenal,2,3,0.0,0.0,0,0.0,1.0,0.0
Leeds,Man United,1,1,0.0,0.0,0,0.0,1.0,0.0
Everton,Brentford,2,4,0.0,0.0,0,0.0,1.0,0.0
Newcastle,Crystal Palace,2,0,0.0,0.0,1,0.0,1.0,0.0
Tottenham,Sunderland,1,1,0.0,0.0,0,0.0,1.0,0.0
Fulham,Liverpool,2,2,0.0,0.0,0,0.0,1.0,0.0
Man City,Chelsea,1,1,0.0,0.0,0,0.0,1.0,0.0
West Ham,Nott'm Forest,1,2,0.0,0.0,0,0.0,1.0,0.0
Bournemouth,Tottenham,3,2,0.0,0.0,1,0.0,1.0,0.0
Brentford,Sunderland,3,0,0.0,0.0,1,0.0,1.0,0.0
Crystal Palace,Aston Villa,0,0,0.0,0.0,0,0.0,1.0,0.0
Everton,Wolves,1,1,0.0,0.0,0,0.0,1.0,0.0
Fulham,Chelsea,2,1,0.0,0.0,1,0.0,1.0,0.0
Man City,Brighton,1,1,0.0,0.0,0,0.0,1.0,0.0
Burnley,Man United,2,2,0.0,0.0,0,0.0,1.0,0.0
Newcastle,Leeds,4,3,0.0,0.0,1,0.0,1.0,0.0
Arsenal,Liverpool,0,0,0.0,0.0,0,0.0,1.0,0.0
Man United,Man City,2,0,0.0,0.0,1,0.0,1.0,0.0
Chelsea,Brentford,2,0,0.0,0.0,1,0.0,1.0,0.0
Leeds,Fulham,1,0,0.0,0.0,1,0.0,1.0,0.0
Liverpool,Burnley,1,1,0.0,0.0,0,0.0,1.0,0.0
Sunderland,Crystal Palace,2,1,0.0,0.0,1,0.0,1.0,0.0
Tottenham,West Ham,1,2,0.0,0.0,0,0.0,1.0,0.0
Nott'm Forest,Arsenal,0,0,0.0,0.0,0,0.0,1.0,0.0
Wolves,Newcastle,0,0,0.0,0.0,0,0.0,1.0,0.0
Aston Villa,Everton,0,1,0.0,0.0,0,0.0,1.0,0.0
Brighton,Bournemouth,1,1,0.0,0.0,0,0.0,1.0,0.0
West Ham,Sunderland,3,1,0.0,0.0,1,0.0,1.0,0.0
Burnley,Tottenham,2,2,0.0,0.0,0,0.0,1.0,0.0
Fulham,Brighton,2,1,0.0,0.0,1,0.0,1.0,0.0
Man City,Wolves,2,0,0.0,0.0,1,0.0,1.0,0.0
Bournemouth,Liverpool,3,2,0.0,0.0,1,0.0,1.0,0.0
Brentford,Nott'm Forest,0,2,0.0,0.0,0,0.0,1.0,0.0
Crystal Palace,Chelsea,1,3,0.0,0.0,0,0.0,1.0,0.0
Newcastle,Aston Villa,0,2,0.0,0.0,0,0.0,1.0,0.0
Arsenal,Man United,2,3,0.0,0.0,0,0.0,1.0,0.0
Everton,Leeds,1,1,0.0,0.0,0,0.0,1.0,0.0
Brighton,Everton,1,1,0.0,0.0,0,0.0,1.0,0.0
Leeds,Arsenal,0,4,0.0,0.0,0,0.0,1.0,0.0
Wolves,Bournemouth,0,2,0.0,0.0,0,0.0,1.0,0.0
Chelsea,West Ham,3,2,0.0,0.0,1,0.0,1.0,0.0
Liverpool,Newcastle,4,1,0.0,0.0,1,0.0,1.0,0.0
Aston Villa,Brentford,0,1,0.0,0.0,0,0.0,1.0,0.0
Man United,Fulham,3,2,0.0,0.0,1,0.0,1.0,0.0
Nott'm Forest,Crystal Palace,1,1,0.0,0.0,0,0.0,1.0,0.0
Tottenham,Man City,2,2,0.0,0.0,0,0.0,1.0,0.0
Sunderland,Burnley,3,0,0.0,0.0,1,0.0,1.0,0.0
Leeds,Nott'm Forest,3,1,0.0,0.0,1,0.0,1.0,0.0
Man United,Tottenham,2,0,0.0,0.0,1,0.0,1.0,0.0
Arsenal,Sunderland,3,0,0.0,0.0,1,0.0,1.0,0.0
Bournemouth,Aston Villa,1,1,0.0,0.0,0,0.0,1.0,0.0
Burnley,West Ham,0,2,0.0,0.0,0,0.0,1.0,0.0
Fulham,Everton,1,2,0.0,0.0,0,0.0,1.0,0.0
Wolves,Chelsea,1,3,0.0,0.0,0,0.0,1.0,0.0
Newcastle,Brentford,2,3,0.0,0.0,0,0.0,1.0,0.0
Brighton,Crystal Palace,0,1,0.0,0.0,0,0.0,1.0,0.0
Liverpool,Man City,1,2,0.0,0.0,0,0.0,1.0,0.0
Chelsea,Leeds,2,2,0.0,0.0,0,0.0,1.0,0.0
Everton,Bournemouth,1,2,0.0,0.0,0,0.0,1.0,0.0
Tottenham,Newcastle,1,2,0.0,0.0,0,0.0,1.0,0.0
West Ham,Man United,1,1,0.0,0.0,0,0.0,1.0,0.0
Aston Villa,Brighton,1,0,0.0,0.0,1,0.0,1.0,0.0
Crystal Palace,Burnley,2,3,0.0,0.0,0,0.0,1.0,0.0
Man City,Fulham,3,0,0.0,0.0,1,0.0,1.0,0.0
Nott'm Forest,Wolves,0,0,0.0,0.0,0,0.0,1.0,0.0
Sunderland,Liverpool,0,1,0.0,0.0,0,0.0,1.0,0.0
Brentford,Arsenal,1,1,0.0,0.0,0,0.0,1.0,0.0
Wolves,Arsenal,2,2,0.0,0.0,0,0.0,1.0,0.0
Aston Villa,Leeds,1,1,0.0,0.0,0,0.0,1.0,0.0
Brentford,Brighton,0,2,0.0,0.0,0,0.0,1.0,0.0
Chelsea,Burnley,1,1,0.0,0.0,0,0.0,1.0,0.0
West Ham,Bournemouth,0,0,0.0,0.0,0,0.0,1.0,0.0
Man City,Newcastle,2,1,0.0,0.0,1,0.0,1.0,0.0
Crystal Palace,Wolves,1,0,0.0,0.0,1,0.0,1.0,0.0
Nott'm Forest,Liverpool,0,1,0.0,0.0,0,0.0,1.0,0.0
Sunderland,Fulham,1,3,0.0,0.0,0,0.0,1.0,0.0
Tottenham,Arsenal,1,4,0.0,0.0,0,0.0,1.0,0.0
Everton,Man United,0,1,0.0,0.0,0,0.0,1.0,0.0
Wolves,Aston Villa,2,0,0.0,0.0,1,0.0,1.0,0.0
Bournemouth,Sunderland,1,1,0.0,0.0,0,0.0,1.0,0.0
Burnley,Brentford,3,4,0.0,0.0,0,0.0,1.0,0.0
Liverpool,West Ham,5,2,0.0,0.0,1,0.0,1.0,0.0
Newcastle,Everton,2,3,0.0,0.0,0,0.0,1.0,0.0
Leeds,Man City,0,1,0.0,0.0,0,0.0,1.0,0.0
Brighton,Nott'm Forest,2,1,0.0,0.0,1,0.0,1.0,0.0
Fulham,Tottenham,2,1,0.0,0.0,1,0.0,1.0,0.0
Man United,Crystal Palace,2,1,0.0,0.0,1,0.0,1.0,0.0
Arsenal,Chelsea,2,1,0.0,0.0,1,0.0,1.0,0.0
Bournemouth,Brentford,0,0,0.0,0.0,0,0.0,1.0,0.0
Everton,Burnley,2,0,0.0,0.0,1,0.0,1.0,0.0
Leeds,Sunderland,0,1,0.0,0.0,0,0.0,1.0,0.0
Wolves,Liverpool,2,1,0.0,0.0,1,0.0,1.0,0.0
Aston Villa,Chelsea,1,4,0.0,0.0,0,0.0,1.0,0.0
Brighton,Arsenal,0,1,0.0,0.0,0,0.0,1.0,0.0
Fulham,West Ham,0,1,0.0,0.0,0,0.0,1.0,0.0
Man City,Nott'm Forest,2,2,0.0,0.0,0,0.0,1.0,0.0
Newcastle,Man United,2,1,0.0,0.0,1,0.0,1.0,0.0
Tottenham,Crystal Palace,1,3,0.0,0.0,0,0.0,1.0,0.0
Burnley,Bournemouth,0,0,0.0,0.0,0,0.0,1.0,0.0
Sunderland,Brighton,0,1,0.0,0.0,0,0.0,1.0,0.0
Arsenal,Everton,2,0,0.0,0.0,1,0.0,1.0,0.0
Chelsea,Newcastle,0,1,0.0,0.0,0,0.0,1.0,0.0
West Ham,Man City,1,1,0.0,0.0,0,0.0,1.0,0.0
Crystal Palace,Leeds,0,0,0.0,0.0,0,0.0,1.0,0.0
Man United,Aston Villa,3,1,0.0,0.0,1,0.0,1.0,0.0
Nott'm Forest,Fulham,0,0,0.0,0.0,0,0.0,1.0,0.0
Liverpool,Tottenham,1,1,0.0,0.0,0,0.0,1.0,0.0
Brentford,Wolves,2,2,0.0,0.0,0,0.0,1.0,0.0
Bournemouth,Man United,2,2,0.0,0.0,0,0.0,1.0,0.0
Brighton,Liverpool,2,1,0.0,0.0,1,0.0,1.0,0.0
Fulham,Burnley,3,1,0.0,0.0,1,0.0,1.0,0.0
Everton,Chelsea,3,0,0.0,0.0,1,0.0,1.0,0.0
Leeds,Brentford,0,0,0.0,0.0,0,0.0,1.0,0.0
Newcastle,Sunderland,1,2,0.0,0.0,0,0.0,1.0,0.0
Aston Villa,West Ham,2,0,0.0,0.0,1,0.0,1.0,0.0
Tottenham,Nott'm Forest,0,3,0.0,0.0,0,0.0,1.0,0.0
Girona,Vallecano,1,3,0.0,0.0,0,0.0,1.0,0.0
Villarreal,Oviedo,2,0,0.0,0.0,1,0.0,1.0,0.0
Mallorca,Barcelona,0,3,0.0,0.0,0,0.0,1.0,0.0
Alaves,Levante,2,1,0.0,0.0,1,0.0,1.0,0.0
Valencia,Sociedad,1,1,0.0,0.0,0,0.0,1.0,0.0
Celta,Getafe,0,2,0.0,0.0,0,0.0,1.0,0.0
Ath Bilbao,Sevilla,3,2,0.0,0.0,1,0.0,1.0,0.0
Espanol,Ath Madrid,2,1,0.0,0.0,1,0.0,1.0,0.0
Elche,Betis,1,1,0.0,0.0,0,0.0,1.0,0.0
Real Madrid,Osasuna,1,0,0.0,0.0,1,0.0,1.0,0.0
Betis,Alaves,1,0,0.0,0.0,1,0.0,1.0,0.0
Mallorca,Celta,1,1,0.0,0.0,0,0.0,1.0,0.0
Ath Madrid,Elche,1,1,0.0,0.0,0,0.0,1.0,0.0
Levante,Barcelona,2,3,0.0,0.0,0,0.0,1.0,0.0
Osasuna,Valencia,1,0,0.0,0.0,1,0.0,1.0,0.0
Sociedad,Espanol,2,2,0.0,0.0,0,0.0,1.0,0.0
Villarreal,Girona,5,0,0.0,0.0,1,0.0,1.0,0.0
Oviedo,Real Madrid,0,3,0.0,0.0,0,0.0,1.0,0.0
Ath Bilbao,Vallecano,1,0,0.0,0.0,1,0.0,1.0,0.0
Sevilla,Getafe,1,2,0.0,0.0,0,0.0,1.0,0.0
Celta,Betis,1,1,0.0,0.0,0,0.0,1.0,0.0
Elche,Levante,2,0,0.0,0.0,1,0.0,1.0,0.0
Valencia,Getafe,3,0,0.0,0.0,1,0.0,1.0,0.0
Alaves,Ath Madrid,1,1,0.0,0.0,0,0.0,1.0,0.0
Oviedo,Sociedad,1,0,0.0,0.0,1,0.0,1.0,0.0
Girona,Sevilla,0,2,0.0,0.0,0,0.0,1.0,0.0
Real Madrid,Mallorca,2,1,0.0,0.0,1,0.0,1.0,0.0
Celta,Villarreal,1,1,0.0,0.0,0,0.0,1.0,0.0
Betis,Ath Bilbao,1,2,0.0,0.0,0,0.0,1.0,0.0
Espanol,Osasuna,1,0,0.0,0.0,1,0.0,1.0,0.0
Vallecano,Barcelona,1,1,0.0,0.0,0,0.0,1.0,0.0
Sevilla,Elche,2,2,0.0,0.0,0,0.0,1.0,0.0
Getafe,Oviedo,2,0,0.0,0.0,1,0.0,1.0,0.0
Sociedad,Real Madrid,1,2,0.0,0.0,0,0.0,1.0,0.0
Ath Bilbao,Alaves,0,1,0.0,0.0,0,0.0,1.0,0.0
Ath Madrid,Villarreal,2,0,0.0,0.0,1,0.0,1.0,0.0
Celta,Girona,1,1,0.0,0.0,0,0.0,1.0,0.0
Levante,Betis,2,2,0.0,0.0,0,0.0,1.0,0.0
Osasuna,Vallecano,2,0,0.0,0.0,1,0.0,1.0,0.0
Barcelona,Valencia,6,0,0.0,0.0,1,0.0,1.0,0.0
Espanol,Mallorca,3,2,0.0,0.0,1,0.0,1.0,0.0
Betis,Sociedad,3,1,0.0,0.0,1,0.0,1.0,0.0
Girona,Levante,0,4,0.0,0.0,0,0.0,1.0,0.0
Real Madrid,Espanol,2,0,0.0,0.0,1,0.0,1.0,0.0
Alaves,Sevilla,1,2,0.0,0.0,0,0.0,1.0,0.0
Villarreal,Osasuna,2,1,0.0,0.0,1,0.0,1.0,0.0
Valencia,Ath Bilbao,2,0,0.0,0.0,1,0.0,1.0,0.0
Vallecano,Celta,1,1,0.0,0.0,0,0.0,1.0,0.0
Mallorca,Ath Madrid,1,1,0.0,0.0,0,0.0,1.0,0.0
Elche,Oviedo,1,0,0.0,0.0,1,0.0,1.0,0.0
Barcelona,Getafe,3,0,0.0,0.0,1,0.0,1.0,0.0
Ath Bilbao,Girona,1,1,0.0,0.0,0,0.0,1.0,0.0
Espanol,Valencia,2,2,0.0,0.0,0,0.0,1.0,0.0
Levante,Real Madrid,1,4,0.0,0.0,0,0.0,1.0,0.0
Sevilla,Villarreal,1,2,0.0,0.0,0,0.0,1.0,0.0
Getafe,Alaves,1,1,0.0,0.0,0,0.0,1.0,0.0
Ath Madrid,Vallecano,3,2,0.0,0.0,1,0.0,1.0,0.0
Sociedad,Mallorca,1,0,0.0,0.0,1,0.0,1.0,0.0
Osasuna,Elche,1,1,0.0,0.0,0,0.0,1.0,0.0
Oviedo,Barcelona,1,3,0.0,0.0,0,0.0,1.0,0.0
Girona,Espanol,0,0,0.0,0.0,0,0.0,1.0,0.0
Getafe,Levante,1,1,0.0,0.0,0,0.0,1.0,0.0
